observation_date,CPIEALL
1998-02-01,171.900
1998-03-01,172.300
1998-04-01,172.600
1998-05-01,173.000
1998-06-01,173.200
1998-07-01,173.600
1998-08-01,173.900
1998-09-01,173.900
1998-10-01,174.300
1998-11-01,174.300
1998-12-01,174.200
1999-01-01,174.700
1999-02-01,175.100
1999-03-01,175.700
1999-04-01,176.800
1999-05-01,176.800
1999-06-01,177.000
1999-07-01,177.600
1999-08-01,178.000
1999-09-01,178.600
1999-10-01,178.900
1999-11-01,179.000
1999-12-01,179.000
2000-01-01,179.800
2000-02-01,181.000
2000-03-01,182.300
2000-04-01,182.400
2000-05-01,182.600
2000-06-01,183.800
2000-07-01,184.200
2000-08-01,184.400
2000-09-01,185.100
2000-10-01,185.400
2000-11-01,185.500
2000-12-01,185.400
2001-01-01,186.900
2001-02-01,187.800
2001-03-01,188.300
2001-04-01,188.900
2001-05-01,189.600
2001-06-01,190.300
2001-07-01,189.800
2001-08-01,190.000
2001-09-01,190.400
2001-10-01,189.700
2001-11-01,189.500
2001-12-01,188.900
2002-01-01,189.700
2002-02-01,190.500
2002-03-01,191.500
2002-04-01,192.400
2002-05-01,192.400
2002-06-01,192.700
2002-07-01,193.100
2002-08-01,193.600
2002-09-01,193.800
2002-10-01,194.100
2002-11-01,194.200
2002-12-01,193.900
2003-01-01,194.800
2003-02-01,196.300
2003-03-01,197.400
2003-04-01,197.000
2003-05-01,196.900
2003-06-01,197.200
2003-07-01,197.600
2003-08-01,198.200
2003-09-01,198.500
2003-10-01,198.600
2003-11-01,198.100
2003-12-01,198.000
2004-01-01,199.200
2004-02-01,200.300
2004-03-01,201.700
2004-04-01,202.400
2004-05-01,203.300
2004-06-01,204.200
2004-07-01,204.300
2004-08-01,204.300
2004-09-01,204.400
2004-10-01,205.400
2004-11-01,205.400
2004-12-01,204.700
2005-01-01,205.400
2005-02-01,206.700
2005-03-01,208.600
2005-04-01,209.800
2005-05-01,209.500
2005-06-01,209.700
2005-07-01,210.900
2005-08-01,211.600
2005-09-01,213.400
2005-10-01,214.300
2005-11-01,213.000
2005-12-01,212.100
2006-01-01,213.800
2006-02-01,214.400
2006-03-01,215.500
2006-04-01,217.000
2006-05-01,217.800
2006-06-01,218.500
2006-07-01,219.200
2006-08-01,219.600
2006-09-01,218.700
2006-10-01,217.800
2006-11-01,217.500
2006-12-01,217.800
2007-01-01,218.826
2007-02-01,220.078
2007-03-01,221.819
2007-04-01,223.102
2007-05-01,224.175
2007-06-01,224.812
2007-07-01,224.928
2007-08-01,224.594
2007-09-01,224.936
2007-10-01,225.394
2007-11-01,226.567
2007-12-01,226.538
2008-01-01,227.885
2008-02-01,228.715
2008-03-01,230.681
2008-04-01,231.822
2008-05-01,233.498
2008-06-01,235.773
2008-07-01,237.164
2008-08-01,236.201
2008-09-01,235.531
2008-10-01,233.486
2008-11-01,229.762
2008-12-01,227.782
2009-01-01,228.900
2009-02-01,229.939
2009-03-01,230.483
2009-04-01,230.832
2009-05-01,231.249
2009-06-01,233.040
2009-07-01,232.878
2009-08-01,233.055
2009-09-01,232.937
2009-10-01,233.160
2009-11-01,233.111
2009-12-01,232.755
2010-01-01,233.620
2010-02-01,233.758
2010-03-01,234.563
2010-04-01,234.932
2010-05-01,235.101
2010-06-01,235.020
2010-07-01,235.077
2010-08-01,235.278
2010-09-01,235.374
2010-10-01,235.608
2010-11-01,235.686
2010-12-01,236.077
2011-01-01,237.200
2011-02-01,238.348
2011-03-01,240.272
2011-04-01,241.514
2011-05-01,242.536
2011-06-01,242.517
2011-07-01,242.792
2011-08-01,243.309
2011-09-01,243.626
2011-10-01,243.262
2011-11-01,243.141
2011-12-01,242.757
2012-01-01,243.820
2012-02-01,244.783
2012-03-01,246.291
2012-04-01,246.995
2012-05-01,246.813
2012-06-01,246.716
2012-07-01,246.490
2012-08-01,247.568
2012-09-01,248.462
2012-10-01,248.360
2012-11-01,247.536
2012-12-01,247.107
2013-01-01,247.895
2013-02-01,249.631
2013-03-01,250.206
2013-04-01,250.065
2013-05-01,250.503
2013-06-01,251.150
2013-07-01,251.301
2013-08-01,251.558
2013-09-01,251.785
2013-10-01,251.256
2013-11-01,250.917
2013-12-01,250.980
2014-01-01,252.091
2014-02-01,253.068
2014-03-01,254.521
2014-04-01,255.176
2014-05-01,256.144
2014-06-01,256.654
2014-07-01,256.652
2014-08-01,256.305
2014-09-01,256.479
2014-10-01,256.078
2014-11-01,255.126
2014-12-01,254.120
2015-01-01,253.383
2015-02-01,254.369
2015-03-01,255.612
2015-04-01,256.168
2015-05-01,257.238
2015-06-01,258.201
2015-07-01,258.300
2015-08-01,257.978
2015-09-01,257.695
2015-10-01,257.741
2015-11-01,257.402
2015-12-01,256.758
2016-01-01,257.334
2016-02-01,257.760
2016-03-01,258.706
2016-04-01,259.773
2016-05-01,260.798
2016-06-01,261.689
2016-07-01,261.501
2016-08-01,261.846
2016-09-01,262.418
2016-10-01,262.724
2016-11-01,262.518
2016-12-01,262.678
2017-01-01,264.153
2017-02-01,265.079
2017-03-01,265.357
2017-04-01,266.030
2017-05-01,266.308
2017-06-01,266.665
2017-07-01,266.581
2017-08-01,267.224
2017-09-01,268.318
2017-10-01,268.306
2017-11-01,268.372
2017-12-01,268.379
2018-01-01,269.830
2018-02-01,270.961
2018-03-01,271.618
2018-04-01,272.533
2018-05-01,273.568
2018-06-01,274.100
2018-07-01,274.185
2018-08-01,274.314
2018-09-01,274.534
2018-10-01,274.872
2018-11-01,274.317
2018-12-01,273.824
2019-01-01,274.508
2019-02-01,275.541
2019-03-01,276.859
2019-04-01,278.102
2019-05-01,278.668
2019-06-01,278.892
2019-07-01,279.393
2019-08-01,279.421
2019-09-01,279.587
2019-10-01,280.303
2019-11-01,280.376
2019-12-01,280.315
2020-01-01,281.482
2020-02-01,282.284
2020-03-01,281.778
2020-04-01,280.266
2020-05-01,280.306
2020-06-01,281.716
2020-07-01,282.939
2020-08-01,283.593
2020-09-01,283.885
2020-10-01,284.006
2020-11-01,283.922
2020-12-01,284.217
2021-01-01,285.422
2021-02-01,286.939
2021-03-01,288.726
2021-04-01,290.740
2021-05-01,292.759
2021-06-01,295.083
2021-07-01,296.456
2021-08-01,297.114
2021-09-01,297.988
2021-10-01,300.259
2021-11-01,301.615
2021-12-01,302.457
2022-01-01,304.894
2022-02-01,307.436
2022-03-01,311.088
2022-04-01,312.884
2022-05-01,316.166
2022-06-01,320.045
2022-07-01,320.337
2022-08-01,320.720
2022-09-01,321.745
2022-10-01,323.141
2022-11-01,323.190
2022-12-01,322.838
2023-01-01,325.520
2023-02-01,327.499
2023-03-01,328.457
2023-04-01,329.868
2023-05-01,330.663
2023-06-01,331.791
2023-07-01,332.545
2023-08-01,334.032
2023-09-01,335.069
2023-10-01,335.102
2023-11-01,334.876
2023-12-01,334.758
2024-01-01,336.898
2024-02-01,338.763
2024-03-01,340.743
2024-04-01,341.904
2024-05-01,342.545
2024-06-01,342.869
2024-07-01,343.324
2024-08-01,343.643
2024-09-01,344.322
2024-10-01,344.837
2024-11-01,344.803
2024-12-01,345.141
2025-01-01,347.274
2025-02-01,348.738
2025-03-01,349.681
2025-04-01,350.752
2025-05-01,351.577
2025-06-01,352.769
2025-07-01,353.308
2025-08-01,354.317
